task_id,department,asset_id,section,duration_min,criticality,urgency,operational_impact,status
M001,Engineering,TRK001,S01,120,5,5,5,Pending
M002,Engineering,TRK002,S02,90,4,4,4,Pending
M003,Signalling,SIG001,S01,60,5,5,5,Pending
M004,Signalling,SIG002,S02,90,4,5,4,Pending
M005,Traction,OHE001,S01,150,4,3,4,Pending
M006,Traction,OHE002,S02,120,3,4,4,Pending
M007,Engineering,TRK003,S03,180,5,4,5,Pending
M008,Signalling,SIG003,S03,75,3,3,3,Pending
M009,Traction,OHE003,S03,120,4,4,5,Pending
M010,Engineering,TRK004,S04,60,2,3,2,Pending
M011,Signalling,SIG004,S04,90,4,4,3,Pending
M012,Traction,OHE004,S04,120,3,3,4,Pending
M013,Engineering,TRK005,S05,150,5,5,5,Pending
M014,Signalling,SIG005,S05,60,3,4,3,Pending
M015,Traction,OHE005,S05,90,4,3,4,Pending
M016,Engineering,TRK006,S06,120,4,4,4,Pending
M017,Signalling,SIG006,S06,75,4,3,4,Pending
M018,Traction,OHE006,S06,150,5,4,5,Pending
M019,Engineering,TRK007,S07,90,3,2,3,Pending
M020,Signalling,SIG007,S07,60,2,3,2,Pending
